D_Airport Rating,D_Airport On Time Rating,D_Airport Service Rating,A_Airport Rating,A_Airport On Time Rating,A_Airport Service Rating,D_Delay,Duration,A_Delay,C_Rating,C_Market Share,C_Load Factor,C_On Time Performance Rating,D_DewPointC,D_WindGustKmph,D_cloudcover,D_humidity,D_precipMM,D_pressure,D_tempC,D_visibility,D_winddirDegree,D_windspeedKmph,D_Time,A_DewPointC,A_WindGustKmph,A_cloudcover,A_humidity,A_precipMM,A_pressure,A_tempC,A_visibility,A_winddirDegree,A_windspeedKmph,A_Time,day,month,polarity,subjectivity,tweet_volume
7.5,8.6,9.2,7.29,6.2,9.0,3.0,73.0,-29.0,7.9,39.7,90.9,87.4,18.0,11.0,5.0,61.0,0.0,1012.0,26.0,10.0,199.0,10.0,5.0,20.0,7.0,32.0,61.0,0.0,1011.0,28.0,10.0,344.0,6.0,6.0,4,2,0.1,0.15416666666666667,3
7.5,8.6,9.2,7.29,6.2,9.0,3.0,73.0,-29.0,7.9,39.7,90.9,87.4,18.0,11.0,5.0,61.0,0.0,1012.0,26.0,10.0,199.0,10.0,5.0,20.0,7.0,32.0,61.0,0.0,1011.0,28.0,10.0,344.0,6.0,6.0,4,2,0.1,0.15416666666666667,3
7.5,8.6,9.2,7.29,6.2,9.0,3.0,73.0,-29.0,7.9,39.7,90.9,87.4,18.0,11.0,5.0,61.0,0.0,1012.0,26.0,10.0,199.0,10.0,5.0,20.0,7.0,32.0,61.0,0.0,1011.0,28.0,10.0,344.0,6.0,6.0,4,2,0.1,0.15416666666666667,3
7.0,8.5,8.7,7.99,7.3,9.1,14.0,129.0,-7.0,7.9,39.7,90.9,87.4,22.0,17.0,19.0,74.0,0.0,1009.0,27.0,10.0,161.0,12.0,6.0,6.0,5.0,0.0,21.0,0.0,1010.0,32.0,10.0,288.0,4.0,8.0,4,2,0.1,0.15416666666666667,3
7.0,8.5,8.7,7.99,7.3,9.1,14.0,129.0,-7.0,7.9,39.7,90.9,87.4,22.0,17.0,19.0,74.0,0.0,1009.0,27.0,10.0,161.0,12.0,6.0,6.0,5.0,0.0,21.0,0.0,1010.0,32.0,10.0,288.0,4.0,8.0,4,2,0.1,0.15416666666666667,3
7.0,8.5,8.7,7.99,7.3,9.1,14.0,129.0,-7.0,7.9,39.7,90.9,87.4,22.0,17.0,19.0,74.0,0.0,1009.0,27.0,10.0,161.0,12.0,6.0,6.0,5.0,0.0,21.0,0.0,1010.0,32.0,10.0,288.0,4.0,8.0,4,2,0.1,0.15416666666666667,3
7.99,7.3,9.1,8.27,7.8,9.0,9.0,112.0,-9.0,7.9,39.7,90.9,87.4,14.0,12.0,0.0,35.0,0.0,1010.0,27.0,10.0,113.0,11.0,5.0,21.0,15.0,0.0,59.0,0.0,1010.0,28.0,10.0,144.0,13.0,6.0,4,2,0.1,0.15416666666666667,3
7.99,7.3,9.1,8.27,7.8,9.0,9.0,112.0,-9.0,7.9,39.7,90.9,87.4,14.0,12.0,0.0,35.0,0.0,1010.0,27.0,10.0,113.0,11.0,5.0,21.0,15.0,0.0,59.0,0.0,1010.0,28.0,10.0,144.0,13.0,6.0,4,2,0.1,0.15416666666666667,3
7.99,7.3,9.1,8.27,7.8,9.0,9.0,112.0,-9.0,7.9,39.7,90.9,87.4,14.0,12.0,0.0,35.0,0.0,1010.0,27.0,10.0,113.0,11.0,5.0,21.0,15.0,0.0,59.0,0.0,1010.0,28.0,10.0,144.0,13.0,6.0,4,2,0.1,0.15416666666666667,3
7.99,7.3,9.1,8.27,7.8,9.0,8.0,115.0,-7.0,7.9,39.7,90.9,87.4,6.0,6.0,0.0,22.0,0.0,1007.0,30.0,10.0,334.0,6.0,5.0,14.0,22.0,0.0,36.0,0.0,1008.0,30.0,10.0,187.0,15.0,6.0,4,2,0.1,0.15416666666666667,3
